Fecha;Representante;CódigoProducto;Unidades
17/1/14;Valentina Torres Vega;B016B7INC2;1
17/1/14;Luisa García López;B00F3J4B5S;1
17/1/14;Gabriela Rojas Huerta;B00K15Q2B0;1
17/1/14;Juan Carlos Rodríguez Huamán;B018IZ0SWI;2
17/1/14;Carla Fernández Mendoza;B015YCRYZM;3
18/1/14;Luisa García López;B01LQV1YHO;3
18/1/14;Juan Carlos Rodríguez Huamán;B01DZJFWNC;2
18/1/14;Ana María Castro Chávez;B01KBH547A;3
18/1/14;Miguel Ángel Vega Torres;B018IZ0SWI;3
19/1/14;Carla Fernández Mendoza;B016381QZA;3
19/1/14;Ricardo Gómez Vargas;B00K15Q2B0;3
20/1/14;Silvia Ramírez Rivera;B00F3J4B5S;1
20/1/14;Diego Morales Castro;B00NQGP42Y;3
20/1/14;Gabriela Rojas Huerta;B016381QZA;21
20/1/14;Eduardo Cáceres Salazar;B018IZ0SWI;2
20/1/14;Verónica Quispe Rodríguez;B018IZ0SWI;3
20/1/14;Carlos González Medina;B01LQV1YHO;12
21/1/14;Laura Flores Guzmán;B018IZ0SWI;3
21/1/14;Julio Vargas López;B00K15Q2B0;2
21/1/14;Valentina Torres Vega;B00K15Q2B0;2
21/1/14;Andrés Ramos Silva;B018IZ0SWI;3
21/1/14;Mariana Ruiz Cruz;B00F3J4B5S;1
21/1/14;Luis Torres Medina;B00F3J4B5S;3
21/1/14;Ana Paula Sánchez Vargas;B00K15Q2B0;2
21/1/14;Rafaela Cáceres Castro;B01DZJFWNC;1
22/1/14;Alejandro Ortega Salinas;B00F3J4B5S;22
22/1/14;Camila Paredes Delgado;B01DZJFWNC;2
22/1/14;Víctor García Soto;B01KBH547A;1
22/1/14;Sofía Castro Valdez;B016381QZA;19
22/1/14;Adrián Vega Ruiz;B00NQGP42Y;1
22/1/14;Lucía Pérez Guerra;B018IZ0SWI;2
23/1/14;Sebastián Salazar Peña;B00NQGP42Y;2
23/1/14;Carolina Espinoza Ramírez;B01DZJFWNC;2
23/1/14;Manuel Rojas Cárdenas;B01LQV1YHO;23
23/1/14;Gabriela Navarro Gómez;B00F3J4B5S;3
23/1/14;Andrés Soto Paredes;B00J0O5J4Y;2
24/1/14;Valeria Tapia Castro;B016381QZA;2
24/1/14;Eduardo Morales Sánchez;B01EYT1URO;11
24/1/14;María Fernández Vásquez;B00F3J4B5S;3
25/1/14;Jorge Huamán Flores;B00NQGP42Y;2
25/1/14;Daniela Chávez Paredes;B01KBH547A;1
25/1/14;José López Ramírez;B00K15Q2B0;3
25/1/14;Ana María Vargas Vega;B01DZJFWNC;2
26/1/14;Carlos Rivera Castro;B00NQGP42Y;2
26/1/14;Brenda Torres Sánchez;B00K15Q2B0;2
26/1/14;Luis González López;B00K15Q2B0;1
26/1/14;Patricia Medina Vargas;B018IZ0SWI;7
26/1/14;Miguel García Huamán;B01LQV1YHO;1
26/1/14;Adriana Rodríguez Silva;B01KBH547A;20
27/1/14;Juan Pérez Torres;B018IZ0SWI;20
27/1/14;Sofía Castro Salinas;B01KBH547A;2
27/1/14;Diego Morales López;B00K15Q2B0;1
27/1/14;Mariana Rojas Medina;B00F3J4B5S;1
28/1/14;Alejandro Soto Vásquez;B00F3J4B5S;2
28/1/14;Valentina Vega Ruiz;B00K15Q2B0;1
28/1/14;Andrés Gómez Paredes;B00F3J4B5S;3
29/1/14;Gabriela Huamán Castro;B00NQGP42Y;1
29/1/14;Eduardo Torres López;B00NQGP42Y;2
29/1/14;Carla Medina Vargas;B00NQGP42Y;22
30/1/14;Ricardo García Huerta;B018IZ0SWI;3
30/1/14;Laura Chávez Castro;B00K15Q2B0;1
30/1/14;Carlos González Ruiz;B018IZ0SWI;3
31/1/14;Silvia Castro López;B018IZ0SWI;3
31/1/14;Juan Carlos Rodríguez Medina;B00NQGP42Y;2
31/1/14;Luisa Fernández Vargas;B00K15Q2B0;2
31/1/14;José Morales Huamán;B00K15Q2B0;2
31/1/14;Ana Paula Rojas Torres;B01KBH547A;1
31/1/14;Miguel Ángel Vega López;B018IZ0SWI;3
1/2/14;Carla García Castro;B00NQGP42Y;1
1/2/14;Eduardo Castro Ruiz;B01DZJFWNC;2
1/2/14;Gabriela Ramírez Vargas;B00F3J4B5S;3
1/2/14;Ricardo Gómez Medina;B015YCRYZM;3
1/2/14;Laura Flores Salazar;B018IZ0SWI;1
1/2/14;Juan Carlos Rodríguez Delgado;B00NQGP42Y;1
1/2/14;Luisa García Vásquez;B00K15Q2B0;2
2/2/14;Ana María Castro Salinas;B018IZ0SWI;1
2/2/14;Ana María Castro Chávez;B00K15Q2B0;3
3/2/14;Laura Flores Guzmán;B00NQGP42Y;1
3/2/14;Carlos González Medina;B01LQV1YHO;2
3/2/14;Miguel Ángel Vega Torres;B016381QZA;1
3/2/14;Rafaela Cáceres Castro;B01KBH547A;1
4/2/14;Carla Fernández Mendoza;B00F3J4B5S;3
4/2/14;Adrián Vega Ruiz;B01EYT1URO;2
4/2/14;Diego Morales Castro;B015YCRYZM;1
5/2/14;Ricardo Gómez Vargas;B00F3J4B5S;3
5/2/14;Silvia Ramírez Rivera;B01LQV1YHO;2
5/2/14;Eduardo Cáceres Salazar;B016B7INC2;2
6/2/14;Juan Carlos Rodríguez Huamán;B018IZ0SWI;3
6/2/14;Gabriela Rojas Huerta;B00J0O5J4Y;2
6/2/14;Verónica Quispe Rodríguez;B018IZ0SWI;1
6/2/14;Julio Vargas López;B01EYT1URO;3
6/2/14;Valentina Torres Vega;B01EYT1URO;1
6/2/14;Mariana Ruiz Cruz;B01LQV1YHO;1
6/2/14;Luis Torres Medina;B01LQV1YHO;3
6/2/14;Andrés Ramos Silva;B01KBH547A;1
7/2/14;Ana Paula Sánchez Vargas;B00K15Q2B0;1
7/2/14;Alejandro Ortega Salinas;B018IZ0SWI;1
7/2/14;Sofía Castro Valdez;B01KBH547A;3
7/2/14;Lucía Pérez Guerra;B016381QZA;1
8/2/14;Sebastián Salazar Peña;B018IZ0SWI;1
8/2/14;Carolina Espinoza Ramírez;B01KBH547A;2
8/2/14;Manuel Rojas Cárdenas;B00J0O5J4Y;12
8/2/14;Gabriela Navarro Gómez;B00NQGP42Y;1
8/2/14;Andrés Soto Paredes;B00J0O5J4Y;3
8/2/14;Víctor García Soto;B01KBH547A;2
8/2/14;Camila Paredes Delgado;B00NQGP42Y;4
9/2/14;Valeria Tapia Castro;B015YCRYZM;2
9/2/14;Eduardo Morales Sánchez;B01EYT1URO;13
9/2/14;María Fernández Vásquez;B00NQGP42Y;2
9/2/14;Jorge Huamán Flores;B00K15Q2B0;2
9/2/14;Daniela Chávez Paredes;B018IZ0SWI;1
9/2/14;José López Ramírez;B00NQGP42Y;3
10/2/14;Ana María Vargas Vega;B016B7INC2;3
10/2/14;Carlos Rivera Castro;B015YCRYZM;2
11/2/14;Brenda Torres Sánchez;B01EYT1URO;3
11/2/14;Luis González López;B00F3J4B5S;2
11/2/14;Patricia Medina Vargas;B00F3J4B5S;4
11/2/14;Miguel García Huamán;B016381QZA;18
11/2/14;Adriana Rodríguez Silva;B01DZJFWNC;3
11/2/14;Juan Pérez Torres;B018IZ0SWI;3
11/2/14;Sofía Castro Salinas;B00J0O5J4Y;1
11/2/14;Diego Morales López;B01EYT1URO;3
11/2/14;Mariana Rojas Medina;B01KBH547A;4
12/2/14;Alejandro Soto Vásquez;B015YCRYZM;1
12/2/14;Valentina Vega Ruiz;B018IZ0SWI;4
12/2/14;Andrés Gómez Paredes;B016B7INC2;1
13/2/14;Gabriela Huamán Castro;B01KBH547A;1
13/2/14;Eduardo Torres López;B00F3J4B5S;3
13/2/14;Carla Medina Vargas;B01KBH547A;3
14/2/14;Ricardo García Huerta;B016381QZA;3
14/2/14;Laura Chávez Castro;B015YCRYZM;1
14/2/14;Carlos González Ruiz;B00F3J4B5S;1
14/2/14;Silvia Castro López;B00K15Q2B0;4
14/2/14;Juan Carlos Rodríguez Medina;B00K15Q2B0;3
15/2/14;Luisa Fernández Vargas;B016B7INC2;2
15/2/14;José Morales Huamán;B00NQGP42Y;3
15/2/14;Ana Paula Rojas Torres;B01KBH547A;2
15/2/14;Miguel Ángel Vega López;B01DZJFWNC;2
15/2/14;Carla García Castro;B01EYT1URO;2
16/2/14;Eduardo Castro Ruiz;B018IZ0SWI;2
16/2/14;Gabriela Ramírez Vargas;B01DZJFWNC;3
16/2/14;Ricardo Gómez Medina;B01LQV1YHO;3
17/2/14;Laura Flores Salazar;B00F3J4B5S;18
17/2/14;Juan Carlos Rodríguez Delgado;B01KBH547A;2
17/2/14;Luisa García Vásquez;B00F3J4B5S;3
17/2/14;Ana María Castro Salinas;B01DZJFWNC;3
17/2/14;Ana María Castro Chávez;B00F3J4B5S;3
17/2/14;Laura Flores Guzmán;B00K15Q2B0;13
18/2/14;Carlos González Medina;B016B7INC2;4
18/2/14;Miguel Ángel Vega Torres;B00F3J4B5S;4
19/2/14;Rafaela Cáceres Castro;B00J0O5J4Y;4
19/2/14;Carla Fernández Mendoza;B00K15Q2B0;17
20/2/14;Adrián Vega Ruiz;B01KBH547A;2
20/2/14;Diego Morales Castro;B00NQGP42Y;3
20/2/14;Ricardo Gómez Vargas;B00F3J4B5S;3
21/2/14;Silvia Ramírez Rivera;B01EYT1URO;1
21/2/14;Eduardo Cáceres Salazar;B018IZ0SWI;2
21/2/14;Juan Carlos Rodríguez Huamán;B01DZJFWNC;3
21/2/14;Gabriela Rojas Huerta;B00K15Q2B0;1
21/2/14;Verónica Quispe Rodríguez;B016B7INC2;3
22/2/14;Julio Vargas López;B01LQV1YHO;16
22/2/14;Valentina Torres Vega;B01EYT1URO;3
22/2/14;Mariana Ruiz Cruz;B01LQV1YHO;1
22/2/14;Luis Torres Medina;B01LQV1YHO;13
23/2/14;Andrés Ramos Silva;B015YCRYZM;3
23/2/14;Ana Paula Sánchez Vargas;B00K15Q2B0;1
23/2/14;Alejandro Ortega Salinas;B00F3J4B5S;3
23/2/14;Sofía Castro Valdez;B016B7INC2;3
23/2/14;Lucía Pérez Guerra;B01KBH547A;4
24/2/14;Sebastián Salazar Peña;B00NQGP42Y;1
24/2/14;Carolina Espinoza Ramírez;B00NQGP42Y;1
24/2/14;Manuel Rojas Cárdenas;B00F3J4B5S;3
24/2/14;Gabriela Navarro Gómez;B00K15Q2B0;2
24/2/14;Andrés Soto Paredes;B016381QZA;3
24/2/14;Víctor García Soto;B01EYT1URO;2
25/2/14;Camila Paredes Delgado;B00NQGP42Y;3
26/2/14;Valeria Tapia Castro;B01DZJFWNC;20
26/2/14;Eduardo Morales Sánchez;B01LQV1YHO;1
26/2/14;María Fernández Vásquez;B016B7INC2;2
26/2/14;Jorge Huamán Flores;B01KBH547A;2
26/2/14;Daniela Chávez Paredes;B018IZ0SWI;3
26/2/14;José López Ramírez;B015YCRYZM;2
26/2/14;Ana María Vargas Vega;B018IZ0SWI;1
27/2/14;Carlos Rivera Castro;B01KBH547A;1
27/2/14;Brenda Torres Sánchez;B00NQGP42Y;2
27/2/14;Luis González López;B01KBH547A;2
27/2/14;Patricia Medina Vargas;B015YCRYZM;3
27/2/14;Miguel García Huamán;B00J0O5J4Y;2
27/2/14;Adriana Rodríguez Silva;B01KBH547A;2
28/2/14;Juan Pérez Torres;B01KBH547A;2
28/2/14;Sofía Castro Salinas;B018IZ0SWI;2
28/2/14;Diego Morales López;B00F3J4B5S;3
28/2/14;Mariana Rojas Medina;B016381QZA;24
28/2/14;Alejandro Soto Vásquez;B01LQV1YHO;1
28/2/14;Valentina Vega Ruiz;B00J0O5J4Y;2
1/3/14;Andrés Gómez Paredes;B016381QZA;24
1/3/14;Gabriela Huamán Castro;B018IZ0SWI;1
1/3/14;Eduardo Torres López;B016381QZA;2
1/3/14;Carla Medina Vargas;B016381QZA;1
1/3/14;Ricardo García Huerta;B01LQV1YHO;1
2/3/14;Laura Chávez Castro;B00F3J4B5S;1
2/3/14;Carlos González Ruiz;B00NQGP42Y;3
3/3/14;Silvia Castro López;B00NQGP42Y;2
3/3/14;Juan Carlos Rodríguez Medina;B00F3J4B5S;2
3/3/14;Luisa Fernández Vargas;B01EYT1URO;2
3/3/14;José Morales Huamán;B018IZ0SWI;4
3/3/14;Ana Paula Rojas Torres;B00K15Q2B0;3
3/3/14;Miguel Ángel Vega López;B015YCRYZM;1
3/3/14;Carla García Castro;B018IZ0SWI;2
4/3/14;Eduardo Castro Ruiz;B018IZ0SWI;2
4/3/14;Gabriela Ramírez Vargas;B00F3J4B5S;2
4/3/14;Ricardo Gómez Medina;B018IZ0SWI;2
4/3/14;Laura Flores Salazar;B00F3J4B5S;1
4/3/14;Juan Carlos Rodríguez Delgado;B00K15Q2B0;10
4/3/14;Luisa García Vásquez;B016B7INC2;1
4/3/14;Ana María Castro Salinas;B00K15Q2B0;3
5/3/14;Ana María Castro Chávez;B018IZ0SWI;2
5/3/14;Laura Flores Guzmán;B018IZ0SWI;3
5/3/14;Carlos González Medina;B01KBH547A;3
5/3/14;Miguel Ángel Vega Torres;B01LQV1YHO;3
6/3/14;Rafaela Cáceres Castro;B016B7INC2;21
6/3/14;Carla Fernández Mendoza;B015YCRYZM;2
6/3/14;Adrián Vega Ruiz;B00J0O5J4Y;7
6/3/14;Diego Morales Castro;B01EYT1URO;2
6/3/14;Ricardo Gómez Vargas;B01KBH547A;3
7/3/14;Silvia Ramírez Rivera;B00K15Q2B0;2
7/3/14;Eduardo Cáceres Salazar;B01DZJFWNC;2
7/3/14;Juan Carlos Rodríguez Huamán;B00F3J4B5S;16
8/3/14;Gabriela Rojas Huerta;B01DZJFWNC;1
8/3/14;Verónica Quispe Rodríguez;B016381QZA;1
8/3/14;Julio Vargas López;B016381QZA;4
8/3/14;Valentina Torres Vega;B00NQGP42Y;3
8/3/14;Mariana Ruiz Cruz;B00K15Q2B0;2
8/3/14;Luis Torres Medina;B00K15Q2B0;9
9/3/14;Andrés Ramos Silva;B00K15Q2B0;3
9/3/14;Ana Paula Sánchez Vargas;B00F3J4B5S;2
9/3/14;Alejandro Ortega Salinas;B00NQGP42Y;3
9/3/14;Sofía Castro Valdez;B018IZ0SWI;2
9/3/14;Lucía Pérez Guerra;B00NQGP42Y;2
9/3/14;Sebastián Salazar Peña;B01EYT1URO;2
10/3/14;Carolina Espinoza Ramírez;B018IZ0SWI;11
10/3/14;Manuel Rojas Cárdenas;B01EYT1URO;2
10/3/14;Gabriela Navarro Gómez;B016381QZA;3
10/3/14;Andrés Soto Paredes;B01KBH547A;1
10/3/14;Víctor García Soto;B01EYT1URO;2
11/3/14;Camila Paredes Delgado;B00J0O5J4Y;1
11/3/14;Valeria Tapia Castro;B015YCRYZM;3
11/3/14;Eduardo Morales Sánchez;B01KBH547A;2
11/3/14;María Fernández Vásquez;B018IZ0SWI;1
11/3/14;Jorge Huamán Flores;B016B7INC2;1
11/3/14;Daniela Chávez Paredes;B01KBH547A;3
11/3/14;José López Ramírez;B01DZJFWNC;1
12/3/14;Ana María Vargas Vega;B00F3J4B5S;3
12/3/14;Carlos Rivera Castro;B00K15Q2B0;3
12/3/14;Brenda Torres Sánchez;B018IZ0SWI;2
13/3/14;Luis González López;B00NQGP42Y;4
13/3/14;Patricia Medina Vargas;B00K15Q2B0;2
13/3/14;Miguel García Huamán;B016381QZA;2
14/3/14;Adriana Rodríguez Silva;B00F3J4B5S;1
14/3/14;Juan Pérez Torres;B00F3J4B5S;3
14/3/14;Sofía Castro Salinas;B00J0O5J4Y;2
14/3/14;Diego Morales López;B018IZ0SWI;2
15/3/14;Mariana Rojas Medina;B01KBH547A;8
15/3/14;Alejandro Soto Vásquez;B018IZ0SWI;2
15/3/14;Valentina Vega Ruiz;B018IZ0SWI;4
16/3/14;Andrés Gómez Paredes;B018IZ0SWI;1
16/3/14;Gabriela Huamán Castro;B018IZ0SWI;1
16/3/14;Eduardo Torres López;B00K15Q2B0;1
16/3/14;Carla Medina Vargas;B01LQV1YHO;2
17/3/14;Ricardo García Huerta;B01EYT1URO;1
17/3/14;Laura Chávez Castro;B01KBH547A;2
17/3/14;Carlos González Ruiz;B00K15Q2B0;1
17/3/14;Silvia Castro López;B018IZ0SWI;2
17/3/14;Juan Carlos Rodríguez Medina;B00J0O5J4Y;3
17/3/14;Luisa Fernández Vargas;B00F3J4B5S;2
18/3/14;José Morales Huamán;B00K15Q2B0;3
18/3/14;Ana Paula Rojas Torres;B016B7INC2;1
18/3/14;Miguel Ángel Vega López;B01KBH547A;1
18/3/14;Carla García Castro;B01EYT1URO;2
19/3/14;Eduardo Castro Ruiz;B00F3J4B5S;1
20/3/14;Gabriela Ramírez Vargas;B018IZ0SWI;1
20/3/14;Ricardo Gómez Medina;B01LQV1YHO;2
20/3/14;Laura Flores Salazar;B01KBH547A;2
20/3/14;Juan Carlos Rodríguez Delgado;B00K15Q2B0;2
20/3/14;Luisa García Vásquez;B00J0O5J4Y;3
21/3/14;Ana María Castro Salinas;B00NQGP42Y;1
21/3/14;Ana María Castro Chávez;B01LQV1YHO;4
21/3/14;Laura Flores Guzmán;B01DZJFWNC;13
21/3/14;Carlos González Medina;B01KBH547A;2
21/3/14;Miguel Ángel Vega Torres;B016381QZA;1
21/3/14;Rafaela Cáceres Castro;B00F3J4B5S;2
21/3/14;Carla Fernández Mendoza;B01KBH547A;1
21/3/14;Adrián Vega Ruiz;B016381QZA;4
22/3/14;Diego Morales Castro;B015YCRYZM;1
22/3/14;Ricardo Gómez Vargas;B00K15Q2B0;1
22/3/14;Silvia Ramírez Rivera;B01EYT1URO;3
22/3/14;Eduardo Cáceres Salazar;B01KBH547A;3
23/3/14;Juan Carlos Rodríguez Huamán;B01LQV1YHO;2
23/3/14;Gabriela Rojas Huerta;B00F3J4B5S;4
23/3/14;Verónica Quispe Rodríguez;B01KBH547A;2
23/3/14;Julio Vargas López;B00K15Q2B0;1
23/3/14;Valentina Torres Vega;B00NQGP42Y;1
24/3/14;Mariana Ruiz Cruz;B018IZ0SWI;1
24/3/14;Luis Torres Medina;B01DZJFWNC;2
24/3/14;Andrés Ramos Silva;B00NQGP42Y;3
24/3/14;Ana Paula Sánchez Vargas;B00NQGP42Y;2
24/3/14;Alejandro Ortega Salinas;B00NQGP42Y;17
24/3/14;Sofía Castro Valdez;B018IZ0SWI;3
25/3/14;Lucía Pérez Guerra;B018IZ0SWI;3
25/3/14;Sebastián Salazar Peña;B01DZJFWNC;3
25/3/14;Carolina Espinoza Ramírez;B00K15Q2B0;2
25/3/14;Manuel Rojas Cárdenas;B00NQGP42Y;2
25/3/14;Gabriela Navarro Gómez;B00NQGP42Y;3
25/3/14;Andrés Soto Paredes;B01KBH547A;1
25/3/14;Víctor García Soto;B018IZ0SWI;2
26/3/14;Camila Paredes Delgado;B00F3J4B5S;3
26/3/14;Valeria Tapia Castro;B018IZ0SWI;2
26/3/14;Eduardo Morales Sánchez;B01EYT1URO;13
26/3/14;María Fernández Vásquez;B00NQGP42Y;2
26/3/14;Jorge Huamán Flores;B01DZJFWNC;3
27/3/14;Daniela Chávez Paredes;B00NQGP42Y;2
27/3/14;José López Ramírez;B018IZ0SWI;2
27/3/14;Ana María Vargas Vega;B01LQV1YHO;2
27/3/14;Carlos Rivera Castro;B01KBH547A;2
28/3/14;Brenda Torres Sánchez;B01KBH547A;20
28/3/14;Luis González López;B00F3J4B5S;2
28/3/14;Patricia Medina Vargas;B00NQGP42Y;1
28/3/14;Miguel García Huamán;B00F3J4B5S;1
28/3/14;Adriana Rodríguez Silva;B016381QZA;17
28/3/14;Juan Pérez Torres;B01KBH547A;1
28/3/14;Sofía Castro Salinas;B018IZ0SWI;3
28/3/14;Diego Morales López;B01KBH547A;3
29/3/14;Mariana Rojas Medina;B018IZ0SWI;2
29/3/14;Alejandro Soto Vásquez;B00K15Q2B0;3
29/3/14;Valentina Vega Ruiz;B01LQV1YHO;1
30/3/14;Andrés Gómez Paredes;B018IZ0SWI;3
30/3/14;Gabriela Huamán Castro;B01KBH547A;3
30/3/14;Eduardo Torres López;B016381QZA;25
30/3/14;Carla Medina Vargas;B01EYT1URO;2
31/3/14;Ricardo García Huerta;B01EYT1URO;3
31/3/14;Laura Chávez Castro;B01KBH547A;3
31/3/14;Carlos González Ruiz;B018IZ0SWI;16
31/3/14;Silvia Castro López;B016381QZA;18
31/3/14;Juan Carlos Rodríguez Medina;B01KBH547A;2
1/4/14;Luisa Fernández Vargas;B015YCRYZM;21
2/4/14;José Morales Huamán;B01EYT1URO;3
2/4/14;Ana Paula Rojas Torres;B018IZ0SWI;1
2/4/14;Miguel Ángel Vega López;B01KBH547A;2
3/4/14;Carla García Castro;B00K15Q2B0;2
3/4/14;Eduardo Castro Ruiz;B00NQGP42Y;1
4/4/14;Gabriela Ramírez Vargas;B018IZ0SWI;23
4/4/14;Ricardo Gómez Medina;B018IZ0SWI;1
4/4/14;Laura Flores Salazar;B01EYT1URO;1
5/4/14;Juan Carlos Rodríguez Delgado;B018IZ0SWI;1
5/4/14;Luisa García Vásquez;B00F3J4B5S;1
5/4/14;Ana María Castro Salinas;B01EYT1URO;2
5/4/14;Ana María Castro Chávez;B01EYT1URO;3
6/4/14;Laura Flores Guzmán;B00F3J4B5S;2
6/4/14;Carlos González Medina;B00F3J4B5S;1
7/4/14;Miguel Ángel Vega Torres;B00NQGP42Y;15
7/4/14;Rafaela Cáceres Castro;B018IZ0SWI;3
7/4/14;Carla Fernández Mendoza;B01KBH547A;2
7/4/14;Adrián Vega Ruiz;B018IZ0SWI;3
8/4/14;Diego Morales Castro;B00K15Q2B0;2
8/4/14;Ricardo Gómez Vargas;B01KBH547A;1
8/4/14;Silvia Ramírez Rivera;B01DZJFWNC;3
8/4/14;Eduardo Cáceres Salazar;B016381QZA;3
8/4/14;Juan Carlos Rodríguez Huamán;B00K15Q2B0;3
9/4/14;Gabriela Rojas Huerta;B016B7INC2;1
9/4/14;Verónica Quispe Rodríguez;B01KBH547A;1
9/4/14;Julio Vargas López;B00K15Q2B0;3
9/4/14;Valentina Torres Vega;B018IZ0SWI;14
9/4/14;Mariana Ruiz Cruz;B00K15Q2B0;3
10/4/14;Luis Torres Medina;B01EYT1URO;2
10/4/14;Andrés Ramos Silva;B01KBH547A;2
10/4/14;Ana Paula Sánchez Vargas;B01LQV1YHO;3
10/4/14;Alejandro Ortega Salinas;B00K15Q2B0;1
10/4/14;Sofía Castro Valdez;B01EYT1URO;2
10/4/14;Lucía Pérez Guerra;B01KBH547A;2
11/4/14;Sebastián Salazar Peña;B016B7INC2;2
11/4/14;Carolina Espinoza Ramírez;B00K15Q2B0;4
12/4/14;Manuel Rojas Cárdenas;B00NQGP42Y;4
12/4/14;Gabriela Navarro Gómez;B01KBH547A;5
12/4/14;Andrés Soto Paredes;B01KBH547A;3
12/4/14;Víctor García Soto;B018IZ0SWI;1
13/4/14;Camila Paredes Delgado;B016B7INC2;1
13/4/14;Valeria Tapia Castro;B00NQGP42Y;19
